tweet_ids,number_of_likes,number_of_retweets,number_of_followers,numer_of_friends,source,Date_Time
862831371563274240,17973,4715,8897915,18,Twitter for iPhone,Fri May 12 00:46:44 +0000 2017
862722525377298433,16032,3249,8897915,18,Twitter for iPhone,Thu May 11 17:34:13 +0000 2017
862457590147678208,19128,4504,8897915,18,Twitter for iPhone,Thu May 11 00:01:27 +0000 2017
862096992088072192,69496,21234,8897915,18,Twitter for iPhone,Wed May 10 00:08:34 +0000 2017
861383897657036800,33856,9829,8897915,18,Twitter for iPhone,Mon May 08 00:54:59 +0000 2017
861288531465048066,16107,3804,8897915,18,Twitter for iPhone,Sun May 07 18:36:02 +0000 2017
861005113778896900,15663,3510,8897915,18,Twitter for iPhone,Sat May 06 23:49:50 +0000 2017
860981674716409858,0,1970,8897915,18,Twitter for iPhone,Sat May 06 22:16:42 +0000 2017
860924035999428608,0,728,8897915,18,Twitter for iPhone,Sat May 06 18:27:40 +0000 2017
860563773140209665,7042,1970,8897915,18,Twitter for iPhone,Fri May 05 18:36:06 +0000 2017
860524505164394496,22242,4876,8897915,18,Twitter for iPhone,Fri May 05 16:00:04 +0000 2017
860276583193509888,17307,3248,8897915,18,Twitter for iPhone,Thu May 04 23:34:55 +0000 2017
860184849394610176,15685,5397,8898573,18,Twitter for iPhone,Thu May 04 17:30:24 +0000 2017
860177593139703809,0,28504,8897915,18,Twitter for iPhone,Thu May 04 17:01:34 +0000 2017
859924526012018688,18463,3798,8897915,18,Twitter for iPhone,Thu May 04 00:15:58 +0000 2017
859851578198683649,14551,3259,8897915,18,Twitter for iPhone,Wed May 03 19:26:06 +0000 2017
859607811541651456,17560,1432,8897915,18,Twitter for iPhone,Wed May 03 03:17:27 +0000 2017
859196978902773760,84617,27844,8897915,18,Twitter for iPhone,Tue May 02 00:04:57 +0000 2017
859074603037188101,31870,12628,8897916,18,Twitter for iPhone,Mon May 01 15:58:40 +0000 2017
858860390427611136,0,7511,8897916,18,Twitter for iPhone,Mon May 01 01:47:28 +0000 2017
858843525470990336,14738,3215,8897916,18,Twitter for iPhone,Mon May 01 00:40:27 +0000 2017
858471635011153920,20348,4511,8897916,18,Twitter for iPhone,Sun Apr 30 00:02:42 +0000 2017
858107933456039936,14880,2683,8897916,18,Twitter for iPhone,Fri Apr 28 23:57:28 +0000 2017
857989990357356544,15184,2404,8897916,18,Twitter for iPhone,Fri Apr 28 16:08:49 +0000 2017
857746408056729600,32371,9889,8897916,18,Twitter for iPhone,Fri Apr 28 00:00:54 +0000 2017
857393404942143489,5569,1528,8897916,18,Twitter for iPhone,Thu Apr 27 00:38:11 +0000 2017
857263160327368704,19020,4214,8897916,18,Twitter for iPhone,Wed Apr 26 16:00:39 +0000 2017
857214891891077121,213,17,8897916,18,Twitter for iPhone,Wed Apr 26 12:48:51 +0000 2017
857062103051644929,0,155,8897916,18,Twitter for iPhone,Wed Apr 26 02:41:43 +0000 2017
857029823797047296,17865,3702,8897916,18,Twitter for iPhone,Wed Apr 26 00:33:27 +0000 2017
856543823941562368,15530,2688,8897916,18,Twitter for iPhone,Mon Apr 24 16:22:16 +0000 2017
856526610513747968,11278,1756,8898574,18,Twitter for iPhone,Mon Apr 24 15:13:52 +0000 2017
856330835276025856,0,625,8897916,18,Twitter for iPhone,Mon Apr 24 02:15:55 +0000 2017
856288084350160898,490,15,8897916,18,Twitter for iPhone,Sun Apr 23 23:26:03 +0000 2017
856282028240666624,26354,5874,8897916,18,Twitter for iPhone,Sun Apr 23 23:01:59 +0000 2017
855862651834028034,316,22,8897916,18,Twitter for iPhone,Sat Apr 22 19:15:32 +0000 2017
855860136149123072,4644,911,8897916,18,Twitter for iPhone,Sat Apr 22 19:05:32 +0000 2017
855857698524602368,11301,1970,8897916,18,Twitter for iPhone,Sat Apr 22 18:55:51 +0000 2017
855851453814013952,43621,16941,8897916,18,Twitter for iPhone,Sat Apr 22 18:31:02 +0000 2017
855818117272018944,25402,5089,8897916,18,Twitter for iPhone,Sat Apr 22 16:18:34 +0000 2017
855459453768019968,28364,7712,8897916,18,Twitter for iPhone,Fri Apr 21 16:33:22 +0000 2017
855245323840757760,0,5581,8897916,18,Twitter for iPhone,Fri Apr 21 02:22:29 +0000 2017
855138241867124737,0,41,8897916,18,Twitter for iPhone,Thu Apr 20 19:16:59 +0000 2017
854732716440526848,21690,5694,8897916,18,Twitter for iPhone,Wed Apr 19 16:25:34 +0000 2017
854482394044301312,27881,6424,8897916,18,Twitter for iPhone,Tue Apr 18 23:50:52 +0000 2017
854365224396361728,18035,4417,8897916,18,Twitter for iPhone,Tue Apr 18 16:05:17 +0000 2017
854120357044912130,30566,7019,8897916,18,Twitter for iPhone,Mon Apr 17 23:52:16 +0000 2017
854010172552949760,15534,2971,8897916,18,Twitter for iPhone,Mon Apr 17 16:34:26 +0000 2017
853760880890318849,27337,5437,8897916,18,Twitter for iPhone,Mon Apr 17 00:03:50 +0000 2017
853639147608842240,33142,9432,8897916,18,Twitter for iPhone,Sun Apr 16 16:00:07 +0000 2017
853299958564483072,14853,3358,8897916,18,Twitter for iPhone,Sat Apr 15 17:32:18 +0000 2017
852936405516943360,0,1876,8897916,18,Twitter for iPhone,Fri Apr 14 17:27:40 +0000 2017
852912242202992640,8636,1704,8897916,18,Twitter for iPhone,Fri Apr 14 15:51:39 +0000 2017
852672615818899456,14314,2044,8897916,18,Twitter for iPhone,Thu Apr 13 23:59:28 +0000 2017
852553447878664193,15612,3285,8897916,18,Twitter for iPhone,Thu Apr 13 16:05:56 +0000 2017
852311364735569921,31808,9423,8897916,18,Twitter for iPhone,Thu Apr 13 00:03:59 +0000 2017
852226086759018497,19211,6504,8897916,18,Twitter Web Client,Wed Apr 12 18:25:07 +0000 2017
852189679701164033,11026,1509,8897916,18,Twitter for iPhone,Wed Apr 12 16:00:27 +0000 2017
851861385021730816,0,19,8897916,18,Twitter for iPhone,Tue Apr 11 18:15:55 +0000 2017
851591660324737024,15667,3293,8897916,18,Twitter for iPhone,Tue Apr 11 00:24:08 +0000 2017
851464819735769094,23333,6717,8897916,18,Twitter for iPhone,Mon Apr 10 16:00:07 +0000 2017
